,Chính trị Xã hội,Đời sống,Khoa học,Kinh doanh,Pháp luật,Sức khỏe,Thế giới,Thể thao,Văn hóa,Vi tính
Chính trị Xã hội,6460,47,30,195,176,131,53,18,66,60
Đời sống,326,806,104,43,25,110,91,18,316,37
Khoa học,62,45,1495,11,4,93,44,4,20,54
Kinh doanh,214,14,15,4294,32,14,28,3,7,148
Pháp luật,172,7,0,38,3409,6,1,5,9,8
Sức khỏe,36,42,82,8,11,5007,21,6,3,8
Thế giới,39,6,48,88,9,43,6210,30,64,44
Thể thao,12,9,4,1,6,3,5,6002,16,3
Văn hóa,99,56,16,5,8,0,40,12,4987,10
Vi tính,23,5,30,21,2,5,10,2,10,4213
