,Chính trị Xã hội,Đời sống,Khoa học,Kinh doanh,Pháp luật,Sức khỏe,Thế giới,Thể thao,Văn hóa,Vi tính
Chính trị Xã hội,6680,60,25,97,126,103,34,10,64,37
Đời sống,78,1392,47,16,20,48,44,9,203,19
Khoa học,48,44,1592,16,1,56,27,2,19,27
Kinh doanh,201,12,10,4363,34,6,36,2,6,99
Pháp luật,157,15,0,33,3419,15,1,1,6,8
Sức khỏe,34,46,57,16,7,5034,19,4,2,5
Thế giới,57,19,26,50,13,34,6310,11,41,20
Thể thao,23,6,11,5,20,8,23,5926,35,4
Văn hóa,82,29,18,7,9,10,31,8,5032,7
Vi tính,29,12,32,30,10,3,23,2,13,4167
